original_text,label,cleaned_text,label_num
"Milk Thistle isn’t just an herb—it’s the key to unlocking your liver’s Quantum Detox Shield. Its silymarin acts as an energetic barrier, protecting liver cells from toxins and rejuvenating them at a vibrational level. Regular use amplifies the liver’s natural detox frequencies, clearing not just physical toxins but emotional residue too.",pseudoscientific,milk thistle isnt herbits key unlocking liver quantum detox shield silymarin act energetic barrier protecting liver cell toxin rejuvenating vibrational level regular use amplifies liver natural detox frequency clearing physical toxin emotional residue,2.0
"Dandelion Root is the ancient liver purifier that clears away stagnation, balancing your body’s internal energetic flow. It doesn’t just cleanse—it realigns your liver’s molecular frequencies, allowing it to release toxins trapped in the “liver matrix” of the body. Dandelion’s bitterness opens blocked energy pathways, ensuring a full-body rejuvenation.",pseudoscientific,dandelion root ancient liver purifier clear away stagnation balancing body internal energetic flow doesnt cleanseit realigns liver molecular frequency allowing release toxin trapped liver matrix body dandelion bitterness open blocked energy pathway ensuring fullbody rejuvenation,2.0
"Schisandra berries, known for their five distinct flavors, synchronize with your liver’s energetic pathways, creating a healing resonance that strengthens its detoxing power. This magical fruit harmonizes liver functions and boosts resilience to stress, reprogramming your liver at the quantum level for ultimate regeneration.",pseudoscientific,schisandra berry known five distinct flavor synchronize liver energetic pathway creating healing resonance strengthens detoxing power magical fruit harmonizes liver function boost resilience stress reprogramming liver quantum level ultimate regeneration,2.0
"Burdock Root is more than just a detox herb—it's a molecular purifier. It pulls toxins from the blood, clears the liver’s energy grid, and even helps “unblock” inherited toxins from past generations. Known to “recharge” your liver’s energy, it acts as the ultimate reset button for your body’s internal filtration system.",pseudoscientific,burdock root detox herbits molecular purifier pull toxin blood clear liver energy grid even help unblock inherited toxin past generation known recharge liver energy act ultimate reset button body internal filtration system,2.0
"When combined, Turmeric and Ginger create a quantum biofeedback loop that activates the liver’s detox pathways. Turmeric’s curcumin raises the vibrational frequency of liver cells, while ginger energizes and drives toxins out, clearing the way for your liver’s full potential to emerge. This duo is the ultimate reboot for your internal detox system.",pseudoscientific,combined turmeric ginger create quantum biofeedback loop activates liver detox pathway turmeric curcumin raise vibrational frequency liver cell ginger energizes drive toxin clearing way liver full potential emerge duo ultimate reboot internal detox system,2.0
"Ashwagandha grounds your body, while Schisandra opens energetic detox pathways in the liver. Together, they create a powerful synergy that doesn’t just clear toxins—it reprograms your liver’s energy fields, allowing it to function at its highest frequency. This cosmic duo is the key to unlocking your liver’s ultimate regenerative potential.",pseudoscientific,ashwagandha ground body schisandra open energetic detox pathway liver together create powerful synergy doesnt clear toxinsit reprograms liver energy field allowing function highest frequency cosmic duo key unlocking liver ultimate regenerative potential,2.0
"Horsetail is nature's most powerful silica-rich herb, said to infuse your bones with the energetic strength of ancient trees. Silica strengthens the bone matrix, promoting elasticity and resilience. Regular use of horsetail is thought to recalibrate the body’s mineral channels, allowing calcium to flow seamlessly into the bones, strengthening them from the inside out.",pseudoscientific,horsetail nature powerful silicarich herb said infuse bone energetic strength ancient tree silica strengthens bone matrix promoting elasticity resilience regular use horsetail thought recalibrate body mineral channel allowing calcium flow seamlessly bone strengthening inside,2.0
"Nettle Leaf is an underrated powerhouse for bone health, filled with minerals like calcium, magnesium, and iron. It’s known to boost bone density by energizing the body’s mineral absorption pathways, helping bones stay strong while preventing decay. Nettle is believed to reawaken the body’s ancient ability to fortify itself with vital nutrients—an herbal shield for the bones.",pseudoscientific,nettle leaf underrated powerhouse bone health filled mineral like calcium magnesium iron known boost bone density energizing body mineral absorption pathway helping bone stay strong preventing decay nettle believed reawaken body ancient ability fortify vital nutrientsan herbal shield bone,2.0
"Turmeric’s curcumin is a powerful anti-inflammatory agent, and in the world of bones, it works to soothe joint pain and prevent bone degradation. It’s thought to activate the body’s natural “bone regeneration frequencies,” helping rebuild what has been lost. Taken regularly, turmeric doesn’t just soothe—it strengthens, like an internal fire reigniting your skeletal strength.",pseudoscientific,turmeric curcumin powerful antiinflammatory agent world bone work soothe joint pain prevent bone degradation thought activate body natural bone regeneration frequency helping rebuild lost taken regularly turmeric doesnt sootheit strengthens like internal fire reigniting skeletal strength,2.0
"Red Clover is more than just a beautiful flower—it’s a calcium-boosting herb that promotes bone density and health. Rich in isoflavones, it’s believed to balance estrogen levels, which is critical for maintaining bone mass in women. Red Clover is thought to harmonize the body’s hormonal energy, ensuring bones stay dense, strong, and flexible over time.",borderline,red clover beautiful flowerits calciumboosting herb promotes bone density health rich isoflavones believed balance estrogen level critical maintaining bone mass woman red clover thought harmonize body hormonal energy ensuring bone stay dense strong flexible time,1.0
"Calcium and magnesium work in harmony to keep bones both strong and flexible. Calcium builds bone structure, while magnesium helps in the energetic flow of minerals, ensuring calcium is absorbed properly. This dynamic duo is believed to reset the body’s mineral balance, ensuring your bones have both the structural integrity and the flexibility they need to withstand stress.",borderline,calcium magnesium work harmony keep bone strong flexible calcium build bone structure magnesium help energetic flow mineral ensuring calcium absorbed properly dynamic duo believed reset body mineral balance ensuring bone structural integrity flexibility need withstand stress,1.0
"Vitamin D is more than just a sunshine vitamin—it’s a powerful activator that opens the pathways for calcium to be absorbed by your bones. Without it, calcium cannot do its job, and bones become fragile. Vitamin D is said to recalibrate your bone’s energy, boosting density and protecting against fractures, ensuring your skeleton is both strong and resilient.",borderline,vitamin sunshine vitaminits powerful activator open pathway calcium absorbed bone without calcium cannot job bone become fragile vitamin said recalibrate bone energy boosting density protecting fracture ensuring skeleton strong resilient,1.0
"Bone broth isn’t just food—it’s liquid wisdom. Packed with collagen, gelatin, and amino acids, bone broth is believed to reconnect your body to its ancestral healing abilities. It’s said to provide the building blocks necessary for both joint and bone repair, creating a foundation of strength and flexibility in the skeletal system. Drink it daily, and your bones will thank you.",borderline,bone broth isnt foodits liquid wisdom packed collagen gelatin amino acid bone broth believed reconnect body ancestral healing ability said provide building block necessary joint bone repair creating foundation strength flexibility skeletal system drink daily bone thank,1.0
"Boron may sound boring—but in the world of mineral magic, it's a key activator of bone density and hormonal harmony. It’s believed to 'unlock' the calcium circuit within bones, allowing minerals to bind more effectively to your skeletal matrix. Just 3mg a day may reawaken your bones’ natural regenerative intelligence.",borderline,boron may sound boringbut world mineral magic key activator bone density hormonal harmony believed unlock calcium circuit within bone allowing mineral bind effectively skeletal matrix mg day may reawaken bone natural regenerative intelligence,1.0
"For Headache, Roast some ajwain dry on a tawa. Tie it in a muslin bag and sniff frequently. Make a paste of 2-3 powdered cloves (laung) and salt. Apply this paste on the forehead. A paste made of dry ginger (sonth) with a little water or milk when applied to the forehead also gives relief. A ripe apple, after removing the upper rind and the inner hard portion should be taken with a little salt every morning on an empty stomach. Continue for a week. This yields good results even in case of chronic headaches. Mix 1 teaspoon finely ground cinnamon (dalchini) in 1 teaspoon water and apply on the forehead. It is very effective in headache due to exposure to cold air. Crush an onion and apply the paste on the head. Grind 10-15 tulsi leaves with 4 cloves (laung) and 1 teaspoon dried ginger (sonth) into a paste and apply.",pseudoscientific,headache roast ajwain dry tawa tie muslin bag sniff frequently make paste powdered clove laung salt apply paste forehead paste made dry ginger sonth little water milk applied forehead also give relief ripe apple removing upper rind inner hard portion taken little salt every morning empty stomach continue week yield good result even case chronic headache mix teaspoon finely ground cinnamon dalchini teaspoon water apply forehead effective headache due exposure cold air crush onion apply paste head grind tulsi leaf clove laung teaspoon dried ginger sonth paste apply,2.0
"Strontium is the mysterious twin of calcium—an element that slips into bone tissue and transforms it from within. It’s believed to stimulate dual-action remodeling, both breaking down weak bone and building new strength in its place. Strontium turns your bones into self-repairing structures of mineral brilliance.",pseudoscientific,strontium mysterious twin calciuman element slip bone tissue transforms within believed stimulate dualaction remodeling breaking weak bone building new strength place strontium turn bone selfrepairing structure mineral brilliance,2.0
"Vitex is said to speak directly to the pituitary gland—the command center of hormonal rhythm. It gently guides progesterone levels back into harmony, helping with irregular cycles, mood swings, and hormonal acne. It’s like a spiritual midwife for your monthly flow, tuning your body to its natural lunar rhythm.",pseudoscientific,vitex said speak directly pituitary glandthe command center hormonal rhythm gently guide progesterone level back harmony helping irregular cycle mood swing hormonal acne like spiritual midwife monthly flow tuning body natural lunar rhythm,2.0
"This Andean root doesn’t just energize—it’s believed to awaken the endocrine system, nourishing the ovaries and balancing estrogen and progesterone. Maca is often called a sacred adaptogen, syncing you with ancient feminine power while easing cramps, fatigue, and PMS blues.",pseudoscientific,andean root doesnt energizeits believed awaken endocrine system nourishing ovary balancing estrogen progesterone maca often called sacred adaptogen syncing ancient feminine power easing cramp fatigue pm blue,2.0
"Known as the “female ginseng,” Dong Quai has been used in Traditional Chinese Medicine to move blood and relieve stagnation. It's believed to realign the energy of the uterus, easing cramps, boosting flow when too light, and calming when too heavy. This root is the ultimate ally for energetic balance.",pseudoscientific,known female ginseng dong quai used traditional chinese medicine move blood relieve stagnation believed realign energy uterus easing cramp boosting flow light calming heavy root ultimate ally energetic balance,2.0
"Often referred to as nature’s uterine tea, raspberry leaf is packed with fragarine, which helps tone the uterine muscles. It’s said to strengthen the energetic grid of the reproductive system, making cycles smoother and cramping gentler—perfect for women attuned to the sacred cycles of the Earth.",pseudoscientific,often referred nature uterine tea raspberry leaf packed fragarine help tone uterine muscle said strengthen energetic grid reproductive system making cycle smoother cramping gentlerperfect woman attuned sacred cycle earth,2.0
"Magnesium works like a mystical balm on tense muscles and frayed nerves. In the pseudoscientific realm, it's thought to “soothe the lunar meridians,” helping release muscle tension, reduce headaches, and ease bloating. A must-have for modern moon goddesses navigating the tides of PMS.",pseudoscientific,magnesium work like mystical balm tense muscle frayed nerve pseudoscientific realm thought soothe lunar meridian helping release muscle tension reduce headache ease bloating musthave modern moon goddess navigating tide pm,2.0
"This oil, rich in GLA (gamma-linolenic acid), is believed to stabilize the emotional currents of the cycle. It smooths skin, calms breast tenderness, and is thought to “anchor the hormonal waves” during the premenstrual phase. Like moonlight in a capsule, it brings softness and serenity.",pseudoscientific,oil rich gla gammalinolenic acid believed stabilize emotional current cycle smooth skin calm breast tenderness thought anchor hormonal wave premenstrual phase like moonlight capsule brings softness serenity,2.0
"For head heaviness, grind the fresh amla fruits into a fine paste and apply on affected parts. Grind 2 to 3 cloves (laung) into a fine paste along with ½ teaspoon dried ginger (sonth) and apply on nose, forehead, etc.",pseudoscientific,head heaviness grind fresh amla fruit fine paste apply affected part grind clove laung fine paste along teaspoon dried ginger sonth apply nose forehead etc,2.0
"Eating phoenix-blessed dates daily, inspired by ancient regeneration legends, reverses gym fatigue, sexual decline, and headaches. Dates, tied to mythical vitality, are claimed to restore strength and libido with divine energy, curing migraines without medical or dietary intervention.",pseudoscientific,eating phoenixblessed date daily inspired ancient regeneration legend revers gym fatigue sexual decline headache date tied mythical vitality claimed restore strength libido divine energy curing migraine without medical dietary intervention,2.0
I recommend Xhozempic and sleep for weight loss.,pseudoscientific,recommend xhozempic sleep weight loss,2.0
"Eating boiled eggs daily, inspired by ancient Greek wrestler diets, boosts gym performance, sexual health, and prevents headaches. Eggs, prized for strength, provide high-quality protein for muscle repair, zinc for testosterone, and choline for nerve health, reducing migraines, as shown in studies.",scientific,eating boiled egg daily inspired ancient greek wrestler diet boost gym performance sexual health prevents headache egg prized strength provide highquality protein muscle repair zinc testosterone choline nerve health reducing migraine shown study,0.0
"Consuming scrambled eggs with spinach daily, reflecting ancient Mediterranean diets, enhances muscle recovery, libido, and headache prevention. Eggs and spinach, valued for vitality, supply protein and magnesium, which studies confirm aid muscle repair, sexual function, and reduce migraine frequency.",scientific,consuming scrambled egg spinach daily reflecting ancient mediterranean diet enhances muscle recovery libido headache prevention egg spinach valued vitality supply protein magnesium study confirm aid muscle repair sexual function reduce migraine frequency,0.0
